期別,月,日,星期,數字1,數字2,數字3,數字4,數字5,數字6,特別號
1,1,4,二,03,04,07,19,22,43,36
2,1,7,五,06,09,15,31,38,39,25
3,1,11,二,10,11,13,17,36,49,41
4,1,14,五,05,13,14,24,26,35,39
5,1,18,二,19,22,33,35,38,48,11
6,1,21,五,15,26,27,34,37,42,47
7,1,25,二,02,09,10,15,27,35,44
8,1,28,五,07,12,36,41,42,44,29
9,1,29,六,01,02,20,23,26,34,19
10,1,30,日,03,08,15,20,22,23,36
11,1,31,一,04,14,32,33,43,44,49
12,2,1,二,08,25,34,44,45,47,24
13,2,2,三,06,11,18,23,33,41,39
14,2,3,四,05,09,18,22,34,36,11
15,2,4,五,01,18,21,29,36,38,16
16,2,5,六,02,04,13,36,41,49,16
17,2,6,日,12,24,29,34,38,42,33
18,2,7,一,03,18,23,32,40,45,38
19,2,8,二,05,23,29,33,38,49,24
20,2,9,三,02,07,11,18,35,45,25
21,2,10,四,01,22,25,27,41,44,03
22,2,11,五,23,24,30,42,44,46,48
23,2,15,二,18,23,26,27,40,42,03
24,2,18,五,16,20,36,39,47,48,35
25,2,22,二,03,21,22,34,37,40,05
26,2,25,五,17,18,21,26,38,49,20
27,3,1,二,07,17,19,24,31,45,38
28,3,4,五,01,03,18,29,30,31,26
29,3,8,二,13,14,16,19,30,44,20
30,3,11,五,03,04,08,15,21,24,29
31,3,15,二,01,31,33,37,46,47,36
32,3,18,五,02,15,21,26,42,44,45
33,3,22,二,07,21,26,36,43,49,16
34,3,25,五,14,17,22,45,47,49,26
35,3,29,二,16,21,24,27,29,43,41
36,4,1,五,03,10,11,20,34,38,04
37,4,5,二,08,15,24,27,31,33,13
38,4,8,五,10,15,19,29,31,44,23
39,4,12,二,14,17,18,22,40,42,37
40,4,15,五,02,09,11,14,15,30,22
41,4,19,二,04,05,18,20,30,41,23
42,4,22,五,03,28,32,36,47,49,16
43,4,26,二,12,31,32,42,43,49,36
44,4,29,五,12,14,18,25,44,48,45
45,5,3,二,14,16,18,19,21,23,03
46,5,6,五,01,05,19,28,45,49,29
47,5,10,二,02,11,20,24,32,48,27
48,5,13,五,10,24,27,36,37,48,29
49,5,17,二,09,22,28,29,34,37,36
50,5,20,五,05,08,12,22,42,49,46
51,5,24,二,04,19,24,35,45,46,02
52,5,27,五,04,11,18,37,39,46,27
53,5,31,二,10,11,17,25,27,28,31
54,6,3,五,04,11,39,42,43,48,44
55,6,7,二,04,17,18,19,31,44,46
56,6,10,五,05,10,13,28,29,38,34
57,6,14,二,03,09,20,28,29,47,35
58,6,17,五,07,11,28,30,46,47,48
59,6,21,二,03,14,20,34,41,44,43
60,6,24,五,03,18,26,29,40,43,13
61,6,28,二,21,24,25,41,42,45,34
62,7,1,五,14,20,29,32,34,43,02
63,7,5,二,03,08,26,38,45,47,35
64,7,8,五,05,09,15,35,40,44,10
65,7,12,二,07,14,17,20,29,45,30
66,7,15,五,14,15,27,41,43,49,39
67,7,19,二,09,16,23,29,40,41,43
68,7,22,五,11,12,24,30,33,38,31
69,7,26,二,10,12,17,27,29,39,47
70,7,29,五,12,18,19,21,33,37,15
71,8,2,二,02,26,28,29,37,48,05
72,8,5,五,05,18,21,30,43,46,26
73,8,9,二,09,11,21,23,30,33,34
74,8,12,五,04,07,15,21,37,43,05
75,8,16,二,01,07,11,16,18,31,24
76,8,19,五,03,04,10,21,28,41,15
77,8,23,二,06,23,24,25,47,49,05
78,8,26,五,04,16,17,30,38,42,05
79,8,30,二,05,08,16,27,35,45,37
80,9,2,五,20,23,25,36,43,45,38
81,9,6,二,26,32,35,36,38,49,39
82,9,9,五,07,15,17,28,36,39,01
83,9,13,二,07,10,15,21,34,48,38
84,9,16,五,02,06,07,27,31,44,28
85,9,20,二,11,13,24,29,35,43,01
86,9,23,五,02,12,30,31,44,48,46
87,9,27,二,10,17,28,34,40,43,29
88,9,30,五,05,12,18,28,34,39,24
89,10,4,二,13,14,23,34,43,49,44
90,10,7,五,05,10,15,16,26,30,12
91,10,11,二,01,03,23,25,42,46,02
92,10,14,五,01,11,13,25,32,36,30
93,10,18,二,01,14,27,38,39,47,49
94,10,21,五,11,20,36,37,42,49,03
95,10,25,二,18,32,36,43,48,49,23
96,10,28,五,17,18,19,23,25,32,26
97,11,1,二,17,24,28,32,34,40,03
98,11,4,五,11,21,23,30,36,47,06
99,11,8,二,15,18,37,39,44,47,43
100,11,11,五,02,10,19,20,36,48,37
101,11,15,二,19,20,26,29,34,39,04
102,11,18,五,10,17,27,37,44,45,22
103,11,22,二,05,13,18,24,27,48,32
104,11,25,五,14,15,20,26,35,41,36
105,11,29,二,06,21,34,37,46,49,18
106,12,2,五,08,22,28,40,41,45,34
107,12,6,二,10,15,27,32,39,42,28
108,12,9,五,10,16,22,40,45,48,31
109,12,13,二,06,09,12,14,33,47,34
110,12,16,五,06,11,12,40,47,49,28
111,12,20,二,03,04,12,16,29,32,39
112,12,23,五,09,13,32,34,35,39,01
113,12,27,二,03,11,16,21,22,39,04
114,12,30,五,05,08,14,17,20,46,07
